epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.2906438679789718,1.3372882479693753,0.13235804588923158,0.12751323885683452
1,0.16249711531602376,1.1764449247719722,0.21010923760417663,0.20155151392853243
2,0.12363935393241073,1.1316076875361554,0.20444698361777294,0.19739764972592239
3,0.1032077953167251,1.1087217723328173,0.20663767633017388,0.19763109464240017
4,0.0906343895468161,1.0948686366550278,0.20065699727568392,0.19723302779396062
5,0.08164080820951607,1.0850659930274138,0.19660417538937006,0.19109534109837648
6,0.07455044727481232,1.0773996940297734,0.19999747605057505,0.19168562595447605
7,0.06854909122894358,1.0709531980691636,0.18974176431672318,0.18141968111595322
8,0.0632934844688607,1.0653394539390766,0.19336958573324697,0.18465495194147952
9,0.059115780380531675,1.0608980648113622,0.1868365835462101,0.18515836506198274
